id,name,screen_name,description,lang,img_path
329865303,Brittani Ford,__BrittFord__,Wife 💍 Momma 👑 LV Addict 👜 Adrenaline junkie🏁Dog mom🐶 ❤️1 Corinthians 13:13❤️,en,
602935385,🇺🇸🇺🇸brett grant 🇺🇸🇺🇸,_brett_grant_,"the hero this city deserves, and the hero it needs. 23 years old. ESU Graduate #maKEITHappen",en,
1129237991040462849,Gemini ✌🏻❤️ 🙏🏻,_Gemini_33,💍Wife 💕Mom 👩🏻Daughter🙏🏻Christian 🇺🇸 #MAGA,en,
1161969401362599936,I'm A Coronavirus / Covid19 Survivor,_KevinSteele_,"I was an Committee Member & Delegate of the #DemocratParty @TheDemocrats. I'm trying to get surgery, thank you. 
 https://gofund.me/12a568ec",en,
525750541,Kim D ⚖️🇺🇸🦅🗽,_Kim37,"Conservative, pro-life, Trump supporter. l followback likeminded twits. I block idiots and liberal trolls/ bots!! @kimd37 on Parler | http://gab.ai/Kim",en,
352645385,kelly ladenberger,_kladenberger,Psalm 22:28 ⭐️,en,
790689646384517120,LilLisaB,_LisaBailey,"Catholic
Pro-Life 👶🏻
Pro-Gun 
I ❤️ My Husband, My 3 Sons & My 🐱 🐶.
🚫No DM's‼️",en,
15669795,Marsha Leigh-Klaatu barada nikto,_marshaleigh,Retired American Air /writer L.A. Palo Alto Rev @PACPR Santa Ana River Rev @SARR_UCR-Featured DigitalArtist-Painter-🇺🇸🙏🏻 ✝️apologetics Liberty Freedom,en,
132644117,PuddinTang,_PuddinTang_,"( http://cash.app/$GNIXG ) #MAGA2024, I love America!.. HIT THAT FOLLOW or I’ll find you!",en,
68568046,🇺🇸PuppyTears🇺🇸,_PuppyTears,"Crying back at the #Crybaby #Snowflakes

#AmericanPatriot and Proud Deplorable 🐘🇺🇸 
#BackTheBlue #MAGA2020 #KAG I love @realDonaldTrump",en,
748976897313411072,Shay,_shayde2,"Software Engineer. Life survival advice: smile, be kind to one another and don't take anything personally ❤️ |  Parler, Gab: @Shay2",en,
1201682575783280641,Simona Francesca,_Simona_F,"🇺🇸🇮🇹 
Italian born, American raised",en,
253637278,Yvonne God is on the move 🇺🇸 🐻,_YvonneBurton,We are the media now...stop legitimizing the fake news,en,
253637278,Yvonne God is on the move 🇺🇸 🐻,_YvonneBurton,We are the media now...stop legitimizing the fake news,en,
874678453,0nly4U2c,0nly4U2c,"Advanced Degree in Hanging Out with some post-doctoral work in Poor Decision Making.
KAG.",en,
788100118704717824,Patrick,0spfinsib,Blessed Husband Father & Grandfather #MAGA an objective born out of a necessity Disenfranchised Floridian #DefundPP #2A,en,
766260505195544577,1/1024 Dem,1024Dem,“Political Correctness Is Fascism Pretending to Be Manners”—George Carlin 🇺🇸🇮🇱🇺🇸🇮🇱🇺🇸 MAGA/KAG/Deplorable,en,
502225187,Deplorable 10is,10is3,🇺🇸I support 45 🇺🇸Born Again Christian ✝️ Tennis bum 🎾🎾🎾🎾,en,
61885356,Jeanne -- 46isNotMyPresident,11JeanneDarc,"Christian Capitalist Courageous Constitutionalist

America 1st

#TrumpWon2020

#DrainTheSwamp

IFB

Gab & Parler: @11JeanneDarc
IFB; IBDMs",en,
472184651,Pax Tecum- The office of President Elect Pax Tecum,1231tab,"TLM/Maronite ❤️Catholic, Wife, Mother of 3, Grandmother to 8,Pro-Life, Conservative. I block liberals. I normally don’t unfollow #StopTheSteal #TrumpWillPrevail",en,
37808197,Lola 🦁,125LolaLola,Stand up Be heard 👶🏻PROLIFE 🇺🇸Patriot my❤️belongs to @Swamp_Voice,en,
1400935111,June PISSED OFF Cleaver 🇺🇸,12Tulip3,MAGA ~ Blocked by Patricia Arquette  ~ Shares a 🧠 with @RieMcAz NO Whores Follow me on Parler @JuneCleaver123 Gab @JuneEvelynCleaver,en,
1626725082,Gene,151_gene,"Make the move to Parler, 🇺🇸 U.S.M.C. Veteran, #USMC, Never Forget 9/11",en,
515125776,Follow The 🐰 WHITE RABBIT 🐇,17s_WhiteRabbit,"Leading you to Rabbit-holes
The choice to know, will always be yours
          Banned from facebook and I/G
https://parler.com/profile/WhiteRabbit1776/",en,
23024891,JS™,1ChordWonder,"I do NOT shut up! 
Parler: JS™@1ChordWonder
Calling out #MSM #PublicOfficials #Perverts #Abusers #Greed #Apathy #LookAlikes #TunnelDwellers",en,
2780033225,1PupLuver!,1GOLDNGIRL,"#Luvdogs💛#ADOPT🐶 #dogrescue#Volunteer💖
#MAGA🇺🇸 #KAG2020👍🎗#supportourmilitary🎗👍#supportourveterans✌ 🇺🇸
#EAGLES🏈🏈",en,
1257343456365731840,1HoodPower,1HoodPower,"1Hood Power is a social advocacy organization, affiliated with 1Hood Media, committed to building and demonstrating power in Western PA’s Black communities.",en,
1223356417,Sandy🌻,1Sandy_N_Austin,"Life student, #AI #Code #IoT #ML #CyberSecurity
Follow/share Luv/grow together!

#Gab & #Parler: 1SandyNAustin",en,
1140855259,Norman Firebaugh,2_Firebaugh,"Backup Acc. for Norman Firebaugh, Gun Owner,Lets Save Our Republic, Please follow my Main Account @FirebaughNorman NO LIST'S https://t.co/tcPuDTJJdz, Parler@nffire1945",en,
2489085240,deborah cairns Hart 🇺🇸,2006Cairns,"I’m just a deplorable that loves her president. #TRUMP2020 and #TRUMP2024 and #TRUMP2028.      I am happily married to my husband, a mother of 4 and grandmother",en,
252615715,Best_ME_Dimples,207_Melissa,Lifetime in 207 🇺🇸 Happily Married ❤️ 5 amazing daughters & 3 grandkids 🧡 Daughter US Army 2/4/2020 #GodBlessUSA 🇺🇸,en,
53465535,Truthseeker 2020,20TruthSeeker,"I prefer to be true to myself,even at the hazard of incurring the ridicule of others, rather than to be false, and to incur my own abhorrence.Frederick Douglass",en,
284716581,Dave Hayes,20WIN12,Father. Husband. Catholic. Patriot. Conservative. Wake up America!,en,
89796116,katkat,222Katkat,proud chump,en,
89796116,katkat,222Katkat,proud chump,en,
1391563946,Winston Smith of 2717 Productions,2717PRODUCTIONS,"LA-based production company which will soon be in production on 4 HORSEMEN, an epic script Hollywood satanists (Lost writers) bastardized&put into 3 franchises.",en,
1215739804475850753,Vladd,2991acinrazop,"Serbdom, Orthodoxy, 1A, 2A, 10A, Medical Freedom.",en,
1207683399462338564,Freedom Fighter,2free4you,#Freedom,en,
3193282733,worst of shire,2scooooops,nunya,en,
903678570698039296,🇺🇸Angel🇺🇸,36Angeldb,#Christian #Conservative #MAGA #IStandWithTrump #ReaganConservative #Constitution #Politics #NewsJunkie #PrayForAmerica #ProIsrael #Military #Vets #TCOT #2A #1A,en,
19948559,Deplorable Chump,3dogmary,"#Resist #PatriotParty
 #ConstitutionalConservative 
back up acct: @bad3dogmary
Parler @3dogmary GAB @3dogmary",en,
43288319,3GenCalifornian,3genCalifornian,"Catholic Wife & Mother, dog lover,
native plant appreciator",en,
793325095129317376,Timothy Ferriss,4_hourworkweek,"Author of 3 #1 NYT/WSJ bestsellers (The 4-Hour Workweek, etc.) | #Meditation | #Investor",en,
31570570,Less Cracker,48yardline,One of the 75mm+ assaulting deep state lies with truth. #VoterID #TermLimits #MAGA,en,
1241445415293259777,4acrooster,4acrooster,The greatest among us is a servant to all.  #GG33 4LP #Rooster #Grinberg2024,en,
765978736290304000,Brian,50grey50,Independent. We’re more alike than not. Opposing views welcome. Proud father of LEO. #BackTheBlue #1A #2A #USA #ProCannabis #Trump2020,en,
1238337211428372480,SixOClockShawn,6_OClockShawn,Hard on Equipment...,en,
3364519641,b1end 7n,614_679,"It's easy, just don't get tested...
Freedom is never granted by the oppressor. It must be demanded by the oppressed.",en,
1556231095,Pro-life_MommaBear,6Here2InHeaven,"#Catholic #Prolife #Conservative #Patriot Actress/Singer/Voice Over Talent, Married since 1996, Homeschooling Mother of 6 children; Miscarried 2 precious lives",en,
41664024,Will Durban🇺🇸,72ndnyvi,"Living in California, trying for the American Dream.
Love this great Country, and hope to restore Honor & Truth back to it. Big time Gun Nut, & into Nature.",en,
2760395261,Kumbaya,78cuiserFJ40,"🇺🇸 I retweet stuff, all kinds of stuff, so you can see it. 🇺🇸 ‘In Twitter Land it feels like I’m the kid at the lunch table nobody hears..’ #ComcastSucks",en,
4018747773,Marie,7eights2nine10,Deuteronomy 20:4 🌴☘️🇮🇪🇬🇧🇺🇸✈️🐶🐠🏄🏻‍♀️🚴🥊🐊🐙,en,
3150743012,Lucy,925fairy,"Catholic, Traditional Mass, Wife, Mother, Patriot, MAGA, The Dogma Lives Loudly Within Me",en,
570886014,KWTO 93.3 FM - 560 AM - News - Analysis - Opinion,933KWTO,KWTO 93.3 FM - 560 AM News - Analysis - Opinion Studio Line: 417-862-9977 Main Office: 417-862-5600 Email: 933kwto@radiospringfield.com,en,
198464696,🕊Larkspur Lane 🇺🇸 🗣,9LarkspurLane,"Truth matters.
Beware of unintended consequences.
Think for yourself.",en,
515744996,Allison Sammons,A_M_Sammons,"Christ follower. Native Tennessean. SC transplant. Proud nerd. Politics, sports and true crime junkie: college football (#RollTide) and baseball (#ChopOn🪓).",en,
780903255891075072,Galen Thomas 🇺🇸 MAGA,A7XfoREVer9,"America is like, epic. Let's save her from those who wish to see her destroyed.",en,
1643747220,David Hyden,Aaknard,"Christian, Patriot, Conservative, Retired Naval Aviator, Volunteer",en,
343871222,AK,aakobel,"Hometown: KC Interests: Sports and your Mom Teams: AZ Cardinals, Suns, Diamondbacks. #magaforever",en,
939566344449781761,Aaron Starcher,AaronDX2K,"District Manager/Sales Supervisor for Team Elite. Husband, father and son. Fan of all things Pro Wrestling. Gamer, film lover, content creator.",en,
30482055,Andrew Bennett🇺🇸,abennett3,#twitterphilanthropy,en,
1075181267035971584,A Repentant Soul/Romans 6:6,ABibleFascista,"Christian, Husband, Father",en,
3386114832,Be-That-Change🇺🇸⛪️❤️🇬🇧☕️ 🇳🇬 🇮🇱,ABNewwine,"Legal Immigrant=Proud American, pro-2A, Pro-Life, Defender of Truth, Allergic to Socialism, On Christ, the Solid Rock I Stand 🇮🇱",en,
1249611702,DK Miki,aboveknowledge,"HE LIVES! Love God, Family, life and freedom.",en,
1142559891057303552,Chelsea Chris,Abramski_C,"Chelsea, Vegas & Houston sports. English Premier League enthusiast. Poker. Awake. Student.",en,
759279244832862208,🇺🇸AC 🇺🇸,ACarr818,I voted for Trump. I love Jesus. Proud Wife & Mom. Dog Lover. NCAA Basketball enthusiast.,en,
138870199,BIBLE MAN ✝️ Daniel Farey Eschatology Expert,acceptjesusnow,"Jesus' #Rapture Prophecy The Last Day. 
This is the only correct explication of the Rapture ever published. 
http://acceptjesustoday.com/2622.html",en,
825107061922897922,Enoch Anderson,ActualEnoch,"Notably deplorable:  hold PhD, live in California, but voted for and support Trump. Born April 15.  #MAGA #KAG #VoteRedToSaveAmerica #SaveCalifornia",en,
717747419413405696,CuestB❤️🇺🇸,Acuest123,"Mother, conservative #MAGA #KAG 🇺🇸🇺🇸🇺🇸🇺🇸 #Resistsocialism",en,
1243518575715004418,Ada,AdaMarvellous,Smart and unique,en,
839916084601958400,Adam Eldridge,AdamEldridge13,"Follower of Jesus Christ...

Lifelong Miami Dolphins Fan",en,
37820375,vice president elect - Adam Garon,Adamgaron686,A hyper human - #unitedwestand #WhereWeGoOneWeGoAll #TakeTheOath #dirtyskibum #trump2020,en,
3305821185,Adam Piersen,AdamPiersen,"Security and Forensics Consultant. 2A Supporter, Occasional Gunsmith. Confounder of those who don't know what 🚫 means",en,
883946452338196480,Blue Checkmark McGee 🦄,AdamVerecundium,Went 2 college to study art...only learned about Postmodernism. See my ANTI-LEFTIST art at http://ArgusInkArt.com,en,
1059163988779548674,Christina Moore,AddConfessions,"We did it. TY, America. NC-05 waiting for the day Virginia Foxx is out of office.",en,
808007134738673664,Adeline Blue,AdelineBlue1,"Author of The Entanglement Series. Writer, dreamer, creator of worlds - ice cream aficionado, inventor of the spaghetti sandwich - that witty, fun friend!",en,
23068977,Adi Cortez,adicortez,Enjoy everything beautiful that crosses your path. Laugh at everything that you find funny and absurd. Nightfall comes quickly enough.,en,
192680100,adkins,adkinsh02,tarheels !!!!!! #tarheelnation,en,
3347497853,anthony🇺🇸,admarchitect,Father Husband Son Brother Uncle Architect #tcot #Trump2020 #MAGA #usa #QFD Parler: @admarchitect44,en,
134993271,Joshua 🇺🇲,aDrowsyPoet,Maranatha,en,
1264636450424778753,Advance Truth,advanceTruth,"I'm New to Twitter but not New to the Truth!
I'm an American!
I'm here to spread the truth!",en,
29082715,John Lichtenberger,AdvertisingLaw,"#Christian | #lawyer (Ret.) Tweets on Christianity, law, politics, conservativism, tech, social media. Author/publisher (Ret.) advertising law, #FTC. #MAGA #KAG",en,
7595362,🏴‍☠️Advertocracy,advertocracy,Agent of chaos. I build ideas for a living.,en,
1127718509880807425,Nicole A.,AF77176913,Who’s asking?,en,
709443025311830017,Its the Lenten season. See you all in April.,afcchampsagain,#IMPEACHBIDEN 🌈 I’m taken #RomanCatholic ❤️ #Vets🇺🇸 #AmericaFirst🇺🇸 #ResistBiden #ResistSocialism Wicked Boston Fan,en,
1143934963,America has Fallen,aflyingmonk3y,"“During times of universal deceit, telling the truth becomes a revolutionary act.”   ― George Orwell 🚂🚃  Noticer of Things",en,
16476144,❌AFMom❌ (Parler: AFMom),AFMom,"9th Generation American with God, Family, Country FIRST! Staunch supporter of 2nd Amendment rights & Pres. Trump. Proud Mom of a Veteran/First Responder",en,
1028448934681821186,𝐚ģ𝐀ᗰ ķcỮᖴ™️ᴀɴᴛɪꜰᴀ ꜱᴏᴜᴘ ᴄᴏᴘꜱɪ🚔,agamkcuf,"artist of the lowest magnitude, Army Veteran 
F*ck MAGA F*ck Republicans",en,
602827004,J-man,agdude69,American Patriot just doing what I can to save our Republic!,en,
921193314283589632,Agent99,Agent99usa,"God Bless Texas, President Trump & the USA🇺🇸 on Parler @Agent99usa",en,
374008576,Agent Politico,agentpolitico,I work in pro sports. Due to my job I have to lay low politically. This is my outlet. I'm a free market capitalist. For me the action is the juice.,en,
3251833699,Special Agent Sean Mulder 🇺🇸,agentseanmulder,“Show me all the blueprints”- Howard Hughes. Made in the USA. #DogeArmy,en,
1002614362471895040,Aggie,AggieLINY,#Resister I block magats,en,
373774653,A Girl in Pitt,agirlinpitt,Question everything. #WalkAway✌🏻♥️🇺🇸 #MAGA,en,
785897675103297537,EyesWideOpen 🇺🇸,AH241315,"Concerned mom, wife, surgeon, citizen of the United States of America, “all that is necessary for triumph of evil is for good men to do nothing”",en,
4706245283,Aidan Clark,AidanLII,Phills 08 WS Champs🔔              Eagles Super Bowl 52 Champions🦅 Philly Lifestyle 💯,en,
1093355466208436224,In God We Trust 🇺🇸,AIisTheFuture,"Thinker, writer of politics, world affairs, US-China relations. Proud 🇺🇸 American. Pursuing Truth, Defending Liberty and American values. Calling out BS.",en,
